threads,schedule,time_ms,speedup,efficiency,throughput
1,static,64.000,1.1094,1.1094,132812726
2,static,37.000,1.9189,0.9595,229730097
4,static,30.000,2.3667,0.5917,283333604
8,static,21.000,3.3809,0.4226,404759074
16,static,23.000,3.0870,0.1929,369565187
1,dynamic,54.000,1.3148,1.3148,157407697
2,dynamic,34.000,2.0882,1.0441,250000589
4,dynamic,20.000,3.5500,0.8875,424995339
8,dynamic,18.000,3.9445,0.4931,472225175
16,dynamic,19.000,3.7368,0.2336,447367164
1,guided,56.000,1.2679,1.2679,151785730
2,guided,35.000,2.0286,1.0143,242856547
4,guided,22.000,3.2273,0.8068,386366517
8,guided,19.000,3.7368,0.4671,447367164
16,guided,22.000,3.2273,0.2017,386366517
